name,price,rating,distance,latitude,longitude
AS,,3.0,782.3310765463935,52.993479,18.629549
Cukiernia Lenkiewicz,$,5.0,461.7815320874772,53.023772,18.675857
Chang-Lin,,5.0,493.3277878341965,53.023772,18.675857
Coffee2Go,,4.0,1298.3493582837568,52.992563,18.600756
Pierogarnia Stary Toruń,$$,4.4,861.7456090233109,53.012702,18.619199
Stare Metropolis,$$$$,4.9,895.5631194112109,53.012702,18.619199
Cukiernia Lenkiewicz,$$,4.8,653.3717887268668,53.012702,18.619199
Browar Staromiejski Jan Olbracht,$$,3.8,925.356514164543,53.012702,18.619199
Cafe Lenkiewicz,$$,4.5,970.0300159709135,53.012702,18.619199
Restauracja Po Naszemu Sp. z o.o.,$$,4.8,856.3088504574954,53.012702,18.619199
Pizzeria Piccolo,$,4.0,742.5122100509789,53.012702,18.619199
Szeroka No. 9,$$,4.4,781.1187785817027,53.012702,18.619199
Fonte,$,5.0,183.95151530573315,53.012702,18.619199
Karczma Gęsia Szyja,$$,4.0,809.0161493490525,53.012702,18.619199
Coffee & Whisky House,$$,4.3,223.35713768961583,53.007485,18.600735
Pierogarnia Stary Toruń,$$,4.4,616.9303965767497,53.007485,18.600735
Stare Metropolis,$$$$,4.9,476.7394077530122,53.007485,18.600735
Cafe Lenkiewicz,$$,4.5,465.5795043708961,53.007485,18.600735
Browar Staromiejski Jan Olbracht,$$,3.8,513.5269431892531,53.007485,18.600735
Chleb i Wino,$$,4.3,430.5366752314754,53.007485,18.600735
Manekin,$,3.8,717.6681982121288,53.007485,18.600735
Cukiernia Lenkiewicz,$$,4.8,721.9113745968076,53.007485,18.600735
Oberża,,4.3,306.19231705874046,53.007485,18.600735
Pierogarnia Stary Młyn,$$,4.8,502.60267164425005,53.007485,18.600735
North Fish,,4.0,914.667847276939,53.017646,18.635777
Cukiernia Sowa,,3.0,742.0757263675433,53.017646,18.635777
Saj Gon,$,2.0,912.5364286997599,53.017646,18.635777
Grycan,,3.0,734.9597714241312,53.017646,18.635777
