,name,price,rating,distance,latitude,longitude,bikes_available
278,Dobry Adres Kuchnia i Pub,1.0,,431,53.027355,18.665235,6
279,Mała Gastronomia Cegielski Jerzy,1.0,,433,53.027355,18.665235,6
280,Caffe Bar. Drink-bar,2.0,,466,53.027355,18.665235,6
281,Pizzeria Yarpen,1.0,,496,53.027355,18.665235,6
282,North Fish,3.0,,41,53.014522,18.5616,6
283,Smaki Azji,2.0,,74,53.014522,18.5616,6
284,burgeroWnia,1.0,,90,53.014522,18.5616,6
285,Kosmos Hotel Torun,,,99,53.014522,18.5616,6
286,Arianos Döner Kebab,,,159,53.014522,18.5616,6
287,Misada,,,161,53.014522,18.5616,6
288,Adaś. Bar,,,24,53.020554,18.570606,9
289,Paluch stołówka,1.0,,130,53.020554,18.570606,9
290,Bar ZIEMniaczek,,,137,53.020554,18.570606,9
291,Hotel Uniwersytecki,,,230,53.020554,18.570606,9
292,Murat Kebap,,,95,53.013617,18.580471,5
293,Soczek raz dwa,2.0,,107,53.013617,18.580471,5
294,El Ninio,2.0,,167,53.013617,18.580471,5
295,Jagoda,,,182,53.013617,18.580471,5
296,Chwast Prast Vegetarian Bistro,2.0,,195,53.013617,18.580471,5
297,Mała gastronomia Bar U Dziadka,,,216,53.013617,18.580471,5
298,Lawenda,,,348,52.99384,18.593969,8
299,Kęs Dobry,1.0,,413,52.99384,18.593969,8
300,"Restauracja ""PIĄTA KLEPKA"" Agnieszka Borkowska",,,425,52.99384,18.593969,8
301,Dynasińska Maria Shangri La,,,639,52.99384,18.593969,8
302,Rafa. Pizzeria,1.0,,842,52.99384,18.593969,8
303,Firma Usł Gastronom Wiktor S.C. Modzelewska Alicja Modzelewska Kinga,,,31,52.99384,18.593969,8
304,"""Wiki"" Pizzeria Beata Chmurzyńska",,,42,52.99384,18.593969,8
305,Kola Sklep Mięsno-Spożywczy. Kolasiński Tomasz Toruń,,,49,52.99384,18.593969,8
306,Marco. Pizzeria,,,171,52.99384,18.593969,8
307,Firma Handlowo-Gastronomiczna. Grzebińska Teodozja Toruń,,,222,52.99384,18.593969,8
308,Od Nowa MZK,,,25,53.018989,18.580011,7
309,Hotel Asystencki nr 2,,,98,53.018989,18.580011,7
310,Bar Małej Gastronomi Baszyński Piotr,,,245,53.018989,18.580011,7
311,Mała gastronomia Bar U Dziadka,,,381,53.018989,18.580011,7
312,Chiński Kubek,1.0,,394,53.018989,18.580011,7
313,Cybermachina Przemysław Benedykciński,1.0,,191,53.049682,18.578734,7
314,Pora Obiadowa,1.0,,229,53.049682,18.578734,7
315,Krągłe Placki,1.0,,319,53.049682,18.578734,7
316,Pub Na Pętli,2.0,,340,53.049682,18.578734,7
317,"Agnieszka Płachta Blue Cactus, Blue Home",,,507,53.049682,18.578734,7
318,Chilli. Maćczak M.,2.0,,517,53.049682,18.578734,7
319,Siwy Dym,,,685,53.049682,18.578734,7
320,Prim S.C. Kulpa Wiktor Kulpa Elżbieta,1.0,,767,53.049682,18.578734,7
321,Gruba Ryba,3.0,,796,53.049682,18.578734,7
322,Thienlong,1.0,,796,53.049682,18.578734,7
323,Kinga Łuczak Usługi Hotelowe,,,42,53.035522,18.599119,5
324,Klif. Bar,2.0,,105,53.035522,18.599119,5
325,Klif. Bar,2.0,,109,53.035522,18.599119,5
326,Stara Paczkarnia,1.0,,260,53.035522,18.599119,5
327,Pizzeria Wenecja,1.0,,351,53.035522,18.599119,5
328,Lodmix Szczególski Sławomir,2.0,,360,53.035522,18.599119,5
329,Drink Bar Sierżant Dawid Kościecha,1.0,,392,53.035522,18.599119,5
330,Blue Kaktus. Pub,2.0,,507,53.035522,18.599119,5
331,Mała Gastronomia Cegielski Jerzy,1.0,,163,53.02348,18.659069,7
332,Wild Bean Cafe,1.0,,383,53.02348,18.659069,7
333,Pizzeria Yarpen,1.0,,489,53.02348,18.659069,7
334,Caffe Bar. Drink-bar,2.0,,519,53.02348,18.659069,7
335,Skrzynka,,,525,53.02348,18.659069,7
336,Ajsu Kebab,,,599,53.02348,18.659069,7
337,Kawiarnia Staś Kwiatkowska Alicja,1.0,,635,53.02348,18.659069,7
338,Dariusz Nowak,,,639,53.02348,18.659069,7
339,Policealna Szkoła Usług Turystycznych,,,714,53.02348,18.659069,7
340,Krystyna Bryla Mala Gastronomia Lodziarnia,,,50,53.027043,18.679764,7
341,Punkt Sprzedaży Małej Gastronomi Koźlikowska Aleksandra,1.0,,102,53.027043,18.679764,7
342,Ajsu Kebab,,,108,53.027043,18.679764,7
343,Kwadrans Cafe Toruń,1.0,,156,53.027043,18.679764,7
344,Kebab Star,1.0,,156,53.027043,18.679764,7
345,Portos,2.0,,178,53.027043,18.679764,7
346,Mar Changlin Chang Lin Firma,,,185,53.027043,18.679764,7
347,Restauracja Chińska Chang Lin,1.0,,190,53.027043,18.679764,7
348,Gruby Benek. Pizzeria,1.0,,199,53.027043,18.679764,7
349,Enigma,2.0,,291,53.027043,18.679764,7
350,Pokoje Alfa,,,65,53.031525,18.610275,8
351,Bar Hotelowy Alfa,1.0,,65,53.031525,18.610275,8
352,G132 Office & Restaurant,,,70,53.031525,18.610275,8
353,Wild Bean Cafe,1.0,,79,53.031525,18.610275,8
354,"Hotel i Karczma ""Spichrz""",,,313,53.031525,18.610275,8
355,Wild Bean Cafe,1.0,,319,53.031525,18.610275,8
356,Mio Piano Restaurant,2.0,,339,53.031525,18.610275,8
357,Blue Kaktus. Pub,2.0,,367,53.031525,18.610275,8
358,Kebab,,,66,53.023882,18.61791,9
359,Mediterian,2.0,,83,53.023882,18.61791,9
360,Apartament Delfin II,,,234,53.023882,18.61791,9
361,Jajcarnia,1.0,,256,53.023882,18.61791,9
362,Restauracja Olimpia Toruń,,,265,53.023882,18.61791,9
363,Kryta Pływalnia z Hotelikiem,,,273,53.023882,18.61791,9
364,Mr Chicken,1.0,,292,53.023882,18.61791,9
365,Atena. Pizzeria,1.0,,300,53.023882,18.61791,9
366,Serjusz Szymon Rosiński,,,315,53.023882,18.61791,9
367,Piekuś Bistro,,,113,53.041102,18.598109,4
368,Przewoski Lech Żak,1.0,,361,53.041102,18.598109,4
