name,price,rating,distance,latitude,longitude
Serjusz Szymon Rosiński,,,315,53.023882,18.61791
Copernicus Toruń Hotel,,8.6,469,53.012029,18.596202
Bread House Cafe,1.0,8.4,434,53.012029,18.596202
Coffee & Whisky House,3.0,8.8,603,53.012029,18.596202
Apartamenty Monka,,8.4,590,53.012029,18.596202
Szeroka No.9,,8.5,806,53.012029,18.596202
Manekin,,8.4,833,53.012029,18.596202
Pierogarnia Stary Toruń,1.0,8.1,692,53.012029,18.596202
Pierogarnia Stary Młyn,1.0,8.1,756,53.012029,18.596202
Jan Olbracht Browar Staromiejski,2.0,7.8,648,53.012029,18.596202
Stare Metropolis,1.0,7.2,757,53.012029,18.596202
Piekuś Bistro,,,113,53.041102,18.598109
Przewoski Lech Żak,1.0,,361,53.041102,18.598109
Bar Kebab Gabi Mariola Tomaszewska,,,549,53.041102,18.598109
Pizzeria Haos,1.0,,555,53.041102,18.598109
Delikatesy 34,1.0,,576,53.041102,18.598109
Domowa Barbara Langierowicz,2.0,,652,53.041102,18.598109
"Kasywtoruniu.pl - Kasy Fiskalne W Toruniu, Systemy Lini Insert i Adith",,,706,53.041102,18.598109
Klif. Bar,2.0,,723,53.041102,18.598109
Klif. Bar,2.0,,728,53.041102,18.598109
Delikates,1.0,,767,53.041102,18.598109
Hotel Filmar,,7.0,497,53.024134,18.609268
Bar Krokiecik Toruń,,,39,53.024134,18.609268
Bar BQ,2.0,,100,53.024134,18.609268
Domino's Pizza,1.0,,118,53.024134,18.609268
Bar Orientalny HANOI,2.0,,132,53.024134,18.609268
Bar Azyl Dorota Jakimiak Toruń,1.0,,142,53.024134,18.609268
Polish Kebab,,,257,53.024134,18.609268
Dzięgiel Jacek. Kebab,,,257,53.024134,18.609268
Domino's Pizza,1.0,,280,53.024134,18.609268
Atena. Pizzeria,1.0,,289,53.024134,18.609268
Zahir Kebab,,,82,53.042366,18.580832
Gruba Ryba,3.0,,109,53.042366,18.580832
Thienlong,1.0,,109,53.042366,18.580832
Chilli. Maćczak M.,2.0,,324,53.042366,18.580832
Delikates,1.0,,594,53.042366,18.580832
Siwy Dym,,,605,53.042366,18.580832
"Kasywtoruniu.pl - Kasy Fiskalne W Toruniu, Systemy Lini Insert i Adith",,,617,53.042366,18.580832
Domowa Barbara Langierowicz,2.0,,629,53.042366,18.580832
Tomasz Tokarz,,,725,53.042366,18.580832
Pora Obiadowa,1.0,,727,53.042366,18.580832
Widelec,2.0,8.4,578,53.01726,18.571075
Azzurro,2.0,7.3,489,53.01726,18.571075
Czarny Tulipan. Pub,2.0,7.4,862,53.01726,18.571075
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,642,53.01726,18.571075
Mr.Capone,1.0,6.0,29,53.01726,18.571075
Subway,1.0,6.5,669,53.01726,18.571075
