name,price,rating,distance,category.plural,category.name
Loft79,3.0,6.7,731,Pizzerias,Pizza
Loft79,3.0,6.7,980,Cafés,Café
Loft79,3.0,6.7,731,Cafés,Café
Widelec,2.0,6.6,279,BBQ Joints,BBQ
Widelec,2.0,6.6,311,Lounges,Lounge
Widelec,2.0,6.6,279,Lounges,Lounge
Widelec,2.0,6.6,659,Lounges,Lounge
Widelec,2.0,6.6,659,BBQ Joints,BBQ
Widelec,2.0,6.6,311,BBQ Joints,BBQ
KFC,1.0,6.5,922,Fast Food Restaurants,Fast Food
KFC,1.0,6.5,747,Fried Chicken Joints,Fried Chicken
KFC,1.0,6.5,281,Fried Chicken Joints,Fried Chicken
KFC,1.0,6.5,281,Fast Food Restaurants,Fast Food
Subway,1.0,6.5,43,Sandwich Spots,Sandwich Spot
KFC,1.0,6.5,412,Fast Food Restaurants,Fast Food
KFC,1.0,6.5,412,Fried Chicken Joints,Fried Chicken
KFC,1.0,6.5,747,Fast Food Restaurants,Fast Food
Subway,1.0,6.5,669,Fast Food Restaurants,Fast Food
Pierogarnia Leniwa,1.0,6.5,574,Dumpling Restaurants,Dumplings
Pierogarnia Leniwa,1.0,6.5,574,Polish Restaurants,Polish
Subway,1.0,6.5,669,Sandwich Spots,Sandwich Spot
Subway,1.0,6.5,43,Fast Food Restaurants,Fast Food
Subway,1.0,6.5,859,Sandwich Spots,Sandwich Spot
Subway,1.0,6.5,637,Sandwich Spots,Sandwich Spot
Subway,1.0,6.5,637,Fast Food Restaurants,Fast Food
Subway,1.0,6.5,859,Fast Food Restaurants,Fast Food
Gospoda Pod Modrym Fartuchem,,6.5,579,Polish Restaurants,Polish
KFC,1.0,6.5,922,Fried Chicken Joints,Fried Chicken
KFC,1.0,6.3,803,Fried Chicken Joints,Fried Chicken
KFC,1.0,6.3,803,Fast Food Restaurants,Fast Food
Dim Sum,2.0,6.3,621,Chinese Restaurants,Chinese
Dim Sum,2.0,6.3,621,Dim Sum Restaurants,Dim Sum
KFC,1.0,6.3,962,Fried Chicken Joints,Fried Chicken
KFC,1.0,6.3,451,Fried Chicken Joints,Fried Chicken
KFC,1.0,6.3,962,Fast Food Restaurants,Fast Food
KFC,1.0,6.3,451,Fast Food Restaurants,Fast Food
KFC,1.0,6.3,103,Fried Chicken Joints,Fried Chicken
KFC,1.0,6.3,103,Fast Food Restaurants,Fast Food
KFC,,6.2,434,Restaurants,Restaurant
McDonald's,1.0,6.1,902,Fast Food Restaurants,Fast Food
McDonald's,1.0,6.1,216,Fast Food Restaurants,Fast Food
McDonald's,1.0,6.1,156,Fast Food Restaurants,Fast Food
Mr.Capone,1.0,6.0,29,Bars,Bar
KFC,1.0,6.0,803,Fried Chicken Joints,Fried Chicken
Mr.Capone,1.0,6.0,656,Pizzerias,Pizza
Mr.Capone,1.0,6.0,656,Bars,Bar
Mr.Capone,1.0,6.0,378,Pizzerias,Pizza
Mr.Capone,1.0,6.0,378,Bars,Bar
McDonald's,1.0,6.0,158,Fast Food Restaurants,Fast Food
McDonald's,1.0,6.0,158,Burger Joints,Burgers
KFC,1.0,6.0,803,Fast Food Restaurants,Fast Food
